time,x,y,z,debris_1,debris_2,debris_3,debris_4,debris_5,debris_6,debris_7,debris_8,debris_9,debris_10
1865.1810584958216,6500.835440573288,-389.6637142759673,2772.601394470991,11084.375080928932,12130.524342319402,10746.032200650954,9121.513761143835,4565.886363110156,8819.50282975723,6858.004655309086,4597.064069780596,7630.613407306764,4568.195532176999
1875.208913649025,6470.701735783804,-399.26035804998173,2840.88506301712,11107.626610936553,12141.777966627467,10760.948884105203,9039.608809374464,4502.061310521617,8928.062746795687,6750.666380636429,4619.879947175399,7619.843710684404,4550.889313244613
1885.2367688022284,6439.836648852878,-408.8118735044433,2908.847626884681,11131.465489465325,12152.993286822146,10774.816425824689,8957.10481788384,4441.317406006324,9035.84645867583,6643.680996756308,4646.667121392368,7608.26852458236,4533.07384120057
1895.2646239554317,6408.2436684552,-418.31718103344343,2976.481404278479,11155.87720861694,12164.165345329277,10787.632613709922,8874.022901638484,4383.810746582261,9142.833544921625,6537.115383141721,4677.345365682341,7595.88941233706,4514.751190487354
1905.292479108635,6375.926365539117,-427.7752062539462,3043.778750565991,11180.847016264866,12175.289217213374,10799.395406313495,8790.38477074489,4329.696822206273,9249.004115702635,6431.039780454007,4711.824954553532,7582.70804758551,4495.923495608153
1915.3203342618383,6342.888392923004,-437.1848801272254,3110.732059141432,11206.359931118495,12186.360012121671,10810.102932453907,8706.212755588993,4279.129258410518,9354.338785593105,6325.528000277844,4750.007702301408,7568.726214401582,4476.592950984341
1925.3481894150418,6309.133484882393,-446.54513907969897,3177.333762285538,11232.400757687177,12197.372876192056,10819.7534908653,8621.529833518824,4232.25842666036,9458.818649433995,6220.657644247405,4791.788042278307,7553.945807445173,4456.7618108119605
1935.376044568245,6274.665456727885,-455.8549251231422,3243.576332020929,11258.954101117664,12208.322993924783,10828.345549882044,8536.359657161776,4189.229937975813,9562.425260116392,6116.510331757932,4837.054121718833,7538.368832125055,4436.432388917587
1945.4038997214484,6239.488204373906,-465.1131859742745,3309.4522809630103,11286.004381880166,12219.205590017897,10835.877747157268,8450.72658447221,4150.183042569257,9665.140608121641,6013.171935079319,4885.688888968353,7521.9974047762535,4415.607058613963
1955.4317548746517,6203.605703898356,-474.31887517369705,3374.9541631662614,11313.53585027968,12230.015931166252,10842.348889414468,8364.655710609357,4115.2489656673315,9766.947102669166,5910.732820226729,4937.571152663582,7504.833752852927,4394.288252555812
1965.459610027855,6167.022011093187,-483.47095220417464,3440.0745749658495,11341.532600771003,12240.749327824178,10847.757952231457,8278.172901749469,4084.549216817299,9867.827554336423,5809.288091385216,4992.576595559734,7486.880215137732,4372.478462596266
1975.4874651810585,6129.741261005983,-492.56838260824543,3504.8061558144723,11369.978586057332,12251.401135931743,10852.10407985602,8191.30483093996,4058.1939162516137,9967.765159028268,5708.93783601709,5050.578729066111,7468.139241968758,4350.1802396444045
1985.5153203342618,6091.76766747258,-501.6101381051436,3569.141589114303,11398.857630954055,12261.966758604714,10855.386585052724,8104.079016106772,4036.280186678337,10066.743483183829,5609.787366990575,5111.449777945757,7448.613395485198,4327.396193524403
1995.543175487465,6053.105522640765,-510.59519670702844,3633.0736030440016,11428.153446000942,12272.441647788246,10857.604948980403,8016.523860329142,4018.8906615764668,10164.746450119403,5511.947457142643,5175.061487890342,7428.305349893029,4304.128992836815
2005.5710306406684,6013.759196485148,-519.5225428344976,3696.59497138064,11457.849640807468,12282.821305874439,10858.758821099997,7928.668694498339,4006.0921611943927,10261.758327414758,5415.53456062065,5241.285851674157,7407.217891751997,4280.381364822648
2015.598885793872,5973.733136313213,-528.3911674313788,3759.6985143164807,11487.929737117633,12293.101287283866,10858.848019112409,7840.543822478471,3997.9345846367746,10357.763715258592,5320.671014129319,5309.9957522357445,7385.353920285375,4256.156095230782
2025.6267409470752,5933.031866262655,-537.2000680787818,3822.3770992705017,11518.377181582171,12303.277200011253,10857.872528926253,7752.180568887904,3994.4500605784747,10452.747535676202,5227.485209845309,5381.065523281948,7362.716447714025,4231.4560281894965
2035.6545961002785,5891.65998679,-545.9482491084033,3884.6236416946067,11549.175358227496,12313.344707135475,10855.832504655356,7663.6113296190615,3995.6523904431288,10546.695022569354,5136.111730261481,5454.371429841157,7339.30859961638,4206.284066082786
2045.6824512534818,5849.62217415063,-554.6347217150662,3946.4311058743765,11580.307600612192,12323.299528294052,10852.72826864604,7574.869625211946,4001.5368067983363,10639.591712504056,5046.691433612427,5529.792072616307,7315.133615316143,4180.643169432281
2055.710306406685,5806.923179870217,-563.2585040684849,4007.7925057243224,11611.757203663306,12333.137441122419,10848.560311534215,7485.990157192226,4012.080056977555,10731.423436187826,4959.371476855039,5607.20872103218,7290.194848299531,4154.536356785647
2065.7381615598883,5763.567830207668,-571.8186214242397,4068.700905577516,11643.507435185958,12342.854282658138,10843.32929233252,7397.0088674778735,4027.240808454625,10822.176310582781,4874.30526149762,5686.50558057363,7264.49576666411,4127.966704612373
2075.7660167130916,5719.561025609607,-580.3141062339539,4129.149420969532,11675.541547041163,12352.445950710378,10837.036038547712,7307.963000948547,4046.9603592715293,10911.836731605432,4791.652285983196,5767.570000418869,7238.039953601341,4100.937347207955
2085.7938718662954,5674.907740156478,-588.7439982546546,4189.131219416594,11707.842785987901,12361.908405194868,10829.681546328695,7218.89117125852,4071.1636248228406,11000.391367368358,4711.577886960956,5850.292627533217,7210.8311079151235,4073.451476607555
2095.8217270194987,5629.613021000338,-597.1073446573082,4248.639521187846,11740.39440418676,12371.237669434688,10821.266980645612,7129.833429956429,4099.76036236214,11087.827151922305,4634.25285078759,5934.567513352936,7182.873044578792,4045.5123425103457
2105.849582172702,5583.68198779436,-605.4032001345198,4307.6676000716725,11773.179669363393,12380.42983142708,10811.793675500532,7040.831338952456,4132.6465873180005,11174.13127946108,4559.8528761829675,6020.2921789998845,7154.169695333161,4017.123252215754
